No,Date/Time,Date/time end,Altitude [m],Size fraction,Mass v [µg/m**3],Na+ [µg/m**3],[NH4]+ [µg/m**3],K+ [µg/m**3],Mg2+ [µg/m**3],Ca2+ [µg/m**3],Cl- [µg/m**3],[NO3]- [µg/m**3],[SO4]2- [µg/m**3],[C2O4]2- [µg/m**3],Br- [µg/m**3],C org [µg/m**3],EC [µg/m**3],TC [µg/m**3],Ca [ng/m**3],Ti [ng/m**3],V [ng/m**3],Cr [ng/m**3],Mn [ng/m**3],Fe [ng/m**3],Ni [ng/m**3],Cu [ng/m**3],Zn [ng/m**3],Pb [ng/m**3],As [ng/m**3],Se [ng/m**3],Sr [ng/m**3],Rb [ng/m**3],Ba [ng/m**3],La [ng/m**3],Ce [ng/m**3]
1296,2012-01-18T12:37:00,2012-01-17T12:50,42,0.05 - 0.14 µm,0.21,0.0154,0.0194,0.0076,0.0009,0.0254,0.025,0.0054,0.0696,0.0004,<0.0002,0,0.008,0.008,1.88,0.04,0.364,0.166,<0.0096,0.8,0.106,<0.048,0.17,0.046,0.008,0.002,0.066,<0.0048,<0.0048,0.041,<0.006
1297,2012-01-18T12:37:00,2012-01-17T12:50,42,0.14 - 0.42 µm,1.419,0.0181,0.1687,0.0185,0.0029,0.0634,0.0083,0.0037,0.6295,0.0041,0.0007,0.16,0.088,0.247,3.82,0.265,2.016,<0.0336,0.052,4.16,0.864,0.065,0.965,1.879,0.083,0.078,0.081,0.04,<0.0048,<0.0036,<0.006
1298,2012-01-18T12:37:00,2012-01-17T12:50,42,0.42 - 1.2 µm,5.183,0.3127,0.0031,0.0283,0.0375,0.0977,0.481,0.1074,0.2468,0.0003,0.0026,0.143,0.134,0.276,61.69,3.894,0.574,0.279,1.447,54,0.195,0.079,1.559,0.817,0.149,0.166,1.154,0.104,1.23,<0.0036,0.252
1299,2012-01-18T12:37:00,2012-01-17T12:50,42,1.2 - 3.5 µm,25.354,2.9904,0.0296,<0.0006,0.2258,0.5043,5.2971,1.0789,1.4562,0.0303,0.0071,0.311,0.009,0.32,355.85,14.425,0.703,1.048,5.473,224.07,0.256,0.462,0.844,0.65,<0.003,0.33,5.248,0.323,3.395,0.024,1.434
1300,2012-01-18T12:37:00,2012-01-17T12:50,42,3.5 - 10 µm,19.337,3.003,0.0212,0.1061,0.2068,0.3694,5.6218,0.5797,0.8216,0.0156,0.0033,0.236,0,0.236,258.04,38.688,0.766,0.956,5.045,372.52,0.368,0.312,0.82,0.311,<0.003,0.042,4.676,0.681,5.432,0.844,1.253
1301,2012-01-19T12:28:00,2012-01-18T13:14,42,0.05 - 0.14 µm,0.135,<0.0006,0.0081,<0.0006,<0.0006,0.0187,0.0055,0.0021,0.0248,<0.0002,0.0002,0.013,0,0.013,2.6,0.09,0.025,0.203,<0.0096,2.1,0.019,<0.048,0.109,<0.0228,<0.003,0.004,0.151,<0.0048,<0.0048,<0.0036,<0.006
1302,2012-01-19T12:28:00,2012-01-18T13:14,42,0.14 - 0.42 µm,0.768,0.0075,0.0641,<0.0006,0.0025,0.0428,0.0044,0.0024,0.3506,0.002,<0.0002,0.046,0.01,0.056,8.81,0.381,1.075,0.11,0.018,4.63,0.141,<0.048,0.209,0.156,0.045,0.01,0.14,0.019,<0.0048,<0.0036,0.025
1303,2012-01-19T12:28:00,2012-01-18T13:14,42,0.42 - 1.2 µm,3.287,0.2373,0.0008,0.0064,0.0332,0.1487,0.393,0.1321,0.326,0.0082,0.0034,0.127,0,0.127,124.37,5.439,0.26,0.672,0.922,60.08,0.101,0.051,0.326,0.123,0.051,0.086,1.007,0.083,0.987,<0.0036,0.256
1304,2012-01-19T12:28:00,2012-01-18T13:14,42,1.2 - 3.5 µm,23.826,2.3589,0.0128,0.0789,0.2338,0.7747,4.5029,0.6519,0.8952,0.0403,0.0106,0.479,0.021,0.5,1165.73,23.832,0.877,0.778,6.357,312.96,0.364,0.289,0.94,0.609,0.124,0.226,8.506,0.486,5.486,<0.0036,0.887
1305,2012-01-19T12:28:00,2012-01-18T13:14,42,3.5 - 10 µm,8.488,1.6858,0.0183,0.0885,0.2241,0.4905,3.3323,0.1742,0.5439,0.0183,0.0088,0.448,0.015,0.463,745.36,35.241,0.914,0.993,4.749,370.4,0.46,0.332,0.944,0.528,0.101,0.016,6,0.713,4.825,0.618,1.486
